subpop,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata,no_perturb,date,population,amount
40000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,3932870,79
41000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,4129803,83
42000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,12791530,256
44000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,1057231,21
45000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,5020806,100
46000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,870638,17
47000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,6709356,134
48000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,28260856,565
49000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,3096848,62
50000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,624313,12
51000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,8454463,169
53000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,7404107,148
54000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,1817305,36
55000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,5790716,116
56000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-19,581024,12
01000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,4876250,98
02000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,737068,15
04000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,7050299,141
05000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,2999370,60
06000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,39283497,786
08000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,5610349,112
09000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,3575074,72
10000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,957248,19
11000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,692683,14
12000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,20901636,418
13000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,10403847,208
15000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,1422094,28
16000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,1717750,34
17000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,12770631,255
18000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,6665703,133
19000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,3139508,63
20000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,2910652,58
21000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,4449052,89
22000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,4664362,93
23000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,1335492,27
24000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,6018848,120
25000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,6850553,137
26000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,9965265,199
27000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,5563378,111
28000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,2984418,60
29000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,6104910,122
30000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,1050649,21
31000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,1914571,38
32000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,2972382,59
33000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,1348124,27
34000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,8878503,178
35000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,2092454,42
36000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,19572319,391
37000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,10264876,205
38000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,756717,15
39000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,11655397,233
40000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,3932870,79
41000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,4129803,83
42000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,12791530,256
44000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,1057231,21
45000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,5020806,100
46000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,870638,17
47000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,6709356,134
48000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,28260856,565
49000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,3096848,62
50000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,624313,12
51000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,8454463,169
53000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,7404107,148
54000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,1817305,36
55000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,5790716,116
56000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-20,581024,12
01000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,4876250,98
02000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,737068,15
04000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,7050299,141
05000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,2999370,60
06000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,39283497,786
08000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,5610349,112
09000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,3575074,72
10000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,957248,19
11000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,692683,14
12000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,20901636,418
13000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,10403847,208
15000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,1422094,28
16000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,1717750,34
17000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,12770631,255
18000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,6665703,133
19000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,3139508,63
20000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,2910652,58
21000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,4449052,89
22000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,4664362,93
23000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,1335492,27
24000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,6018848,120
25000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,6850553,137
26000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,9965265,199
27000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,5563378,111
28000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,2984418,60
29000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,6104910,122
30000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,1050649,21
31000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,1914571,38
32000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,2972382,59
33000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,1348124,27
34000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,8878503,178
35000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,2092454,42
36000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,19572319,391
37000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,10264876,205
38000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,756717,15
39000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,11655397,233
40000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,3932870,79
41000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,4129803,83
42000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,12791530,256
44000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,1057231,21
45000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,5020806,100
46000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,870638,17
47000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,6709356,134
48000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,28260856,565
49000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,3096848,62
50000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,624313,12
51000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,8454463,169
53000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,7404107,148
54000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,1817305,36
55000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,5790716,116
56000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-21,581024,12
01000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,4876250,98
02000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,737068,15
04000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,7050299,141
05000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,2999370,60
06000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,39283497,786
08000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,5610349,112
09000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,3575074,72
10000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,957248,19
11000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,692683,14
12000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,20901636,418
13000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,10403847,208
15000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,1422094,28
16000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,1717750,34
17000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,12770631,255
18000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,6665703,133
19000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,3139508,63
20000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,2910652,58
21000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,4449052,89
22000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,4664362,93
23000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,1335492,27
24000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,6018848,120
25000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,6850553,137
26000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,9965265,199
27000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,5563378,111
28000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,2984418,60
29000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,6104910,122
30000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,1050649,21
31000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,1914571,38
32000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,2972382,59
33000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,1348124,27
34000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,8878503,178
35000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,2092454,42
36000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,19572319,391
37000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,10264876,205
38000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,756717,15
39000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,11655397,233
40000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,3932870,79
41000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,4129803,83
42000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,12791530,256
44000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,1057231,21
45000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,5020806,100
46000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,870638,17
47000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,6709356,134
48000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,28260856,565
49000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,3096848,62
50000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,624313,12
51000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,8454463,169
53000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,7404107,148
54000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,1817305,36
55000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,5790716,116
56000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-22,581024,12
01000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,4876250,98
02000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,737068,15
04000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,7050299,141
05000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,2999370,60
06000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,39283497,786
08000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,5610349,112
09000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,3575074,72
10000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,957248,19
11000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,692683,14
12000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,20901636,418
13000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,10403847,208
15000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,1422094,28
16000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,1717750,34
17000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,12770631,255
18000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,6665703,133
19000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,3139508,63
20000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,2910652,58
21000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,4449052,89
22000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,4664362,93
23000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,1335492,27
24000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,6018848,120
25000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,6850553,137
26000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,9965265,199
27000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,5563378,111
28000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,2984418,60
29000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,6104910,122
30000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,1050649,21
31000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,1914571,38
32000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,2972382,59
33000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,1348124,27
34000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,8878503,178
35000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,2092454,42
36000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,19572319,391
37000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,10264876,205
38000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,756717,15
39000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,11655397,233
40000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,3932870,79
41000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,4129803,83
42000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,12791530,256
44000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,1057231,21
45000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,5020806,100
46000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,870638,17
47000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,6709356,134
48000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,28260856,565
49000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,3096848,62
50000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,624313,12
51000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,8454463,169
53000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,7404107,148
54000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,1817305,36
55000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,5790716,116
56000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-23,581024,12
01000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,4876250,98
02000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,737068,15
04000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,7050299,141
05000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,2999370,60
06000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,39283497,786
08000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,5610349,112
09000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,3575074,72
10000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,957248,19
11000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2025-01-24,692683,14
